     lower     upper     count
       592       638      4601
       638       686      3019
       686       737      2083
       737       790      1353
       790       846       906
       846       905       600
       905       967       399
       967      1032       294
      1032      1101       182
      1101      1172       123
      1172      1248       100
      1248      1327        48
      1327      1410        32
      1410      1497        18
      1497      1588        18
      1588      1684        12
      1684      1784        10
      1784      1890         4
      1890      2000         1
      2000      2116         0
      2116      2238         0
      2238      2366         0
      2366      2500         0
      2500      2640         0
      2640      2787         0
      2787      2941         0
