 pT-low pT-high          LO-xsection         NLO-xsection
  56.00   64.00    1.90791398367E+05    2.48554194734E+05
  64.00   74.00    9.89796152231E+04    1.30659141434E+05
  74.00   84.00    5.14788931233E+04    6.77811725810E+04
  84.00   97.00    2.67686099843E+04    3.56164707301E+04
  97.00   114.0    1.26745773459E+04    1.69376613931E+04
  114.0   133.0    5.75936051723E+03    7.75290916728E+03
  133.0   153.0    2.72582261228E+03    3.68863647979E+03
  153.0   174.0    1.36395344922E+03    1.85161995893E+03
  174.0   196.0    7.14277296736E+02    9.75035788082E+02
  196.0   220.0    3.84355141503E+02    5.27047666428E+02
  220.0   245.0    2.11423804446E+02    2.90997229597E+02
  245.0   272.0    1.19032555232E+02    1.64185640252E+02
  272.0   300.0    6.82780538157E+01    9.45176348895E+01
  300.0   330.0    3.99425058866E+01    5.55041336608E+01
  330.0   362.0    2.35693422156E+01    3.28343560987E+01
  362.0   395.0    1.41389429584E+01    1.97907899243E+01
  395.0   430.0    8.62010288565E+00    1.20762314139E+01
  430.0   468.0    5.26612034424E+00    7.41033426620E+00
  468.0   507.0    3.24151152404E+00    4.57093088910E+00
  507.0   548.0    2.02564885961E+00    2.86627101094E+00
  548.0   592.0    1.26951070171E+00    1.80053024473E+00
  592.0   638.0    7.97880438482E-01    1.13585624055E+00
  638.0   686.0    5.05649670462E-01    7.21100834253E-01
  686.0   737.0    3.21638912037E-01    4.60608126289E-01
  737.0   790.0    2.05310269146E-01    2.94891772139E-01
  790.0   846.0    1.31588541914E-01    1.89668115671E-01
  846.0   905.0    8.43277759160E-02    1.21841029474E-01
  905.0   967.0    5.40537627287E-02    7.84561143881E-02
  967.0   1032.    3.46677236172E-02    5.04668381807E-02
  1032.   1101.    2.21808981605E-02    3.24372290814E-02
  1101.   1172.    1.41946198830E-02    2.08328643693E-02
  1172.   1248.    9.07084062297E-03    1.33612679235E-02
  1248.   1327.    5.76044842138E-03    8.53172444580E-03
  1327.   1410.    3.65063677229E-03    5.42320983555E-03
  1410.   1497.    2.30109370312E-03    3.43945990837E-03
  1497.   1588.    1.44244016959E-03    2.16391784441E-03
  1588.   1684.    8.96946167572E-04    1.35355643171E-03
  1684.   1784.    5.52768051672E-04    8.39939733665E-04
  1784.   1890.    3.36878299316E-04    5.14503219598E-04
  1890.   2000.    2.02723247030E-04    3.11584108995E-04
  2000.   2116.    1.20474072241E-04    1.86383768390E-04
  2116.   2238.    7.02652681358E-05    1.09480540823E-04
  2238.   2366.    4.01871939276E-05    6.30644434273E-05
  2366.   2500.    2.25067917576E-05    3.56158776135E-05
  2500.   2640.    1.23146254909E-05    1.96506712276E-05
  2640.   2787.    6.55619450489E-06    1.05473828740E-05
  2787.   2941.    3.38073511610E-06    5.49239355937E-06
  2941.   3103.    1.67775581647E-06    2.75243052529E-06
